Question #, Student's Answer, Correct
1,D,Correct
2,C,Correct
3,E,Incorrect
4,B,Incorrect
5,D,Incorrect
6,B,Correct
7,A,Incorrect
8,D,Correct
9,E,Correct
10,C,Incorrect
11,D,Incorrect
12,B,Incorrect
13,D,Incorrect
14,A,Incorrect
15,B,Incorrect
16,E,Incorrect
17,E,Incorrect
18,A,Incorrect
19,C,Incorrect
20,BLANK,Correct
21,BLANK,Correct
22,BLANK,Correct
23,BLANK,Correct
24,BLANK,Correct
25,BLANK,Correct
26,BLANK,Correct
27,BLANK,Correct
28,BLANK,Correct
29,BLANK,Correct
30,BLANK,Correct
31,BLANK,Correct
32,BLANK,Correct
33,BLANK,Correct
34,BLANK,Correct
35,BLANK,Correct
36,BLANK,Correct
37,BLANK,Correct
38,BLANK,Correct
39,BLANK,Correct
40,BLANK,Correct
41,BLANK,Correct
42,BLANK,Correct
43,BLANK,Correct
44,BLANK,Correct
45,BLANK,Correct
46,BLANK,Correct
47,BLANK,Correct
48,BLANK,Correct
49,BLANK,Correct
50,BLANK,Correct
Total Right : ,36, / 50
